region,crop0,crop1,for0,for1,past0,past1,cropland_chg_pct,forest_chg_pct,forest_chg_mha
Africa,204674.47,311063.48,779535.63,668321.69,862265.24,872350.38,51.97961914839695,-14.266691055545477,-111.21394000000006
Americas,376945.03,376852.09,1799825.88,1634068.32,789046.89,727570.78,-0.024656114977827936,-9.209644212916857,-165.7575599999998
Asia,517710.22,576574.5743,568104.41,627589.18,716780.6,946487.0882,11.370135652334623,10.470746037686984,59.48477000000002
Europe,366760.61,286255.05,1011651.74,1036585.8,409167.0439,171458.99,-21.950437916438194,2.464688095134404,24.934060000000056
Oceania,18996.795,33996.77,184415.71,183660.03,461383.9622,341607.12,78.96055624119754,-0.4097698617975598,-0.755679999999993
World,1485087.13,1584741.97,4343533.37,4150225.02,3238643.73,3059474.36,6.71036991614089,-4.450486125769082,-193.3083500000001
