region,year,urban_share_pct,agri_ha_per_capita
Africa,1961,19.050478233243336,3.5094860578528917
Africa,1962,19.43423753443331,3.4248501690525943
Africa,1963,19.831640491684983,3.344833299211457
Africa,1964,20.24089000154887,3.2633595091022674
Africa,1965,20.668485619633994,3.1849974615377867
Africa,1966,21.081726475188102,3.108612113344978
Africa,1967,21.46028277175532,3.0315755790791337
Africa,1968,21.841043089888885,2.958957466050113
Africa,1969,22.22827254779359,2.8863870326089325
Africa,1970,22.606195208853435,2.813933441396975
Africa,1971,23.012362849266278,2.7503252504955022
Africa,1972,23.4398172543249,2.6824395983718974
Africa,1973,23.85766178349435,2.611015250878696
Africa,1974,24.25742980279069,2.5408540765178342
Africa,1975,24.66319572918933,2.4738459601859613
Africa,1976,25.0776108271378,2.407991290319862
Africa,1977,25.498812767486395,2.3438549065987604
Africa,1978,25.915259536654748,2.2820355880451313
Africa,1979,26.270607902288315,2.217074193691225
Africa,1980,26.625729324067105,2.15769945915319
Africa,1981,27.008968556796788,2.0884200336520204
Africa,1982,27.381416738996585,2.0282198474481414
Africa,1983,27.796114087780637,1.9731501483619667
Africa,1984,28.251017768688147,1.9199457756586706
Africa,1985,28.71759002731229,1.8733981297377889
Africa,1986,29.19987886319855,1.828333241016123
Africa,1987,29.669864718782122,1.7813335011089428
Africa,1988,30.139129774475855,1.7403258569894688
Africa,1989,30.60763837470128,1.6987719645585861
Africa,1990,31.08404126826727,1.6573171065674916
Africa,1991,31.510094824728082,1.6181874298460834
Africa,1992,31.932702494823822,1.5851036533786051
Africa,1993,32.32444159115574,1.5275461901915952
Africa,1994,32.685697661637064,1.496909960638102
Africa,1995,33.004747247168574,1.4707478173511328
Africa,1996,33.292374957407176,1.4399962704738478
Africa,1997,33.59326062681656,1.4087233242993802
Africa,1998,33.87242080177958,1.377395836319954
Africa,1999,34.14896227797162,1.349259158442458
Africa,2000,34.43337686005358,1.320029308394024
Africa,2001,34.76960675250879,1.2908622593842636
Africa,2002,35.115396826878516,1.2616494445792232
Africa,2003,35.46521245585359,1.2377658074711866
Africa,2004,35.81659845140125,1.210411901602134
Africa,2005,36.182154906409686,1.1883981959839511
Africa,2006,36.5489486338258,1.1607399607135824
Africa,2007,36.878676192018546,1.1355157726396743
Africa,2008,37.275424249267346,1.1095459691748923
Africa,2009,37.68352275400961,1.0843828521381336
Africa,2010,38.1067672922652,1.0649389039058395
Africa,2011,38.55206825959317,1.0398910728243602
Africa,2012,38.990808994849345,1.0187964291459672
Africa,2013,39.41509735408048,0.995772586032603
Africa,2014,39.847799474946584,0.973286229676568
Africa,2015,40.286940768366144,0.953243020424732
Africa,2016,40.73532916952465,0.9320409783705244
Africa,2017,41.18563036276544,0.9127884164412653
Africa,2018,41.62977926377962,0.8934917395162475
Africa,2019,42.090898141466255,0.8709777861417067
Africa,2020,42.564367218214336,0.8518837387551668
Africa,2021,43.05238458293351,0.8339458071069119
Africa,2022,43.551511592828135,0.816890977504037
Africa,2023,44.04506984632207,0.7991878822682535
Africa,2024,44.541811967212034,0.7821988040136326
Africa,2025,45.04571567659072,
Americas,1961,60.963361715814976,2.5254418309413746
Americas,1962,61.45299353324384,2.469816123820359
Americas,1963,61.94410014046207,2.418244193931569
Americas,1964,62.43032645361259,2.369555333909896
Americas,1965,62.88493338878722,2.3209409719247605
Americas,1966,63.34555980149999,2.279778933226204
Americas,1967,63.80354939629004,2.2398859269021787
Americas,1968,64.2736878584589,2.2051480277761497
Americas,1969,64.7499203823079,2.1676483630318075
Americas,1970,65.16238328167096,2.1420436403652845
Americas,1971,65.46147039265274,2.1073088371025883
Americas,1972,65.78506819065592,2.074777578811483
Americas,1973,66.1419353546491,2.0430423484123303
