area,region,year,gdp_cap_ppp,pou_pct,population_m
Sierra Leone,Africa,2024,3099.0,25.3,8.642022
Somalia,Africa,2024,1409.0,56.5,19.009151
South Africa,Africa,2024,13598.0,11.2,64.007187
Suriname,Americas,2024,19179.0,12.7,0.634431
Tajikistan,Asia,2024,4756.0,8.0,10.590927
Eswatini,Africa,2024,10380.0,15.1,1.242822
Syrian Arab Republic,Asia,2022,4455.0,35.5,22.462173
Turkmenistan,Asia,2024,18662.0,4.1,7.494498
United Republic of Tanzania,Africa,2024,3713.0,19.1,68.560157
Thailand,Asia,2024,21741.0,5.4,71.668011
Togo,Africa,2024,2961.0,10.2,8.406558
Trinidad and Tobago,Americas,2024,31960.0,10.4,1.507782
Oman,Asia,2024,36721.0,7.1,5.281538
Tunisia,Africa,2024,12775.0,2.8,12.277109
Türkiye,Asia,2009,18612.0,3.1,72.464848
United Arab Emirates,Asia,2020,66809.0,2.5,9.448524
Uganda,Africa,2024,2880.0,20.9,50.015092
Ukraine,Europe,2024,16320.0,10.8,37.860221
Burkina Faso,Africa,2024,2548.0,11.7,23.548781
Uruguay,Americas,2004,17519.0,2.6,3.283148
Uzbekistan,Asia,2011,6100.0,2.6,28.823196
Viet Nam,Asia,2024,14415.0,6.1,100.987687
Ethiopia,Africa,2024,2892.0,19.9,132.059767
Samoa,Oceania,2024,7686.0,3.4,0.218019
Democratic Republic of the Congo,Africa,2024,1602.0,39.5,109.276265
Zambia,Africa,2024,3708.0,41.0,21.314956
Serbia,Europe,2004,14194.0,3.0,
Montenegro,Europe,2006,17727.0,3.0,0.633871
Sudan,Africa,2021,3249.0,10.9,48.066924
