area,region,year,irrigation_share_pct,cereal_yield_t_ha,area_harvested_ha
Guinea-Bissau,Africa,2024,3.279498771641639,1.3334000000000001,242659.0
Timor-Leste,Asia,2024,18.103448275862068,2.1121999999999996,62493.0
Eritrea,Africa,2024,3.122830363341819,0.638,478367.0
Zimbabwe,Africa,2024,5.364707154991629,1.0697999999999999,1255304.0
Romania,Europe,2024,36.15708357897085,3.5256999999999996,5066880.0
Rwanda,Africa,2024,0.5078897081050294,1.784,546634.0
Russian Federation,Europe,2024,3.4772764030405954,3.042,39579836.0
Saudi Arabia,Asia,2024,71.45173240357376,5.1052,230134.0
Senegal,Africa,2024,3.069601488539473,2.0035,1953782.0
Sierra Leone,Africa,2024,1.642545049707128,1.3702999999999999,1095776.0
Slovenia,Europe,2024,2.780428559035308,6.586,102180.0
Slovakia,Europe,2024,4.163512490537472,5.5602,663130.0
Somalia,Africa,2024,17.696765916028845,0.36210000000000003,353654.0
South Africa,Africa,2024,18.043663900749216,4.562,3356840.0
Spain,Europe,2024,22.810995436186897,3.7859000000000003,5510760.0
Suriname,Americas,2024,98.27586206896552,4.4474,50824.0
Tajikistan,Asia,2024,71.2805864990955,4.1239,376457.0
Eswatini,Africa,2024,25.255851656702806,1.0831,71758.0
Sweden,Europe,2024,6.406188020626735,5.2423,982330.0
Switzerland,Europe,2024,12.271224262287035,4.5835,137029.0
Syrian Arab Republic,Asia,2024,24.041417305782968,1.6068,2695375.0
Turkmenistan,Asia,2024,118.76343157857139,1.7117,868613.0
"China, Taiwan Province of",Asia,2024,47.928948384605484,6.425800000000001,291168.0
United Republic of Tanzania,Africa,2024,2.2861635220125787,1.8720999999999999,8262403.0
Thailand,Asia,2024,29.167111864853744,3.0848,12525660.0
Togo,Africa,2024,0.2850862875671911,1.1977,1280036.0
Tunisia,Africa,2024,9.056711779858528,1.8911,795426.0
Türkiye,Asia,2024,29.987928235441036,3.4286999999999996,11379632.0
Uganda,Africa,2024,0.09687798939038177,1.9198,2953368.0
United Kingdom of Great Britain and Northern Ireland,Europe,2024,6.825972588519283,6.5582,2964415.0
Ukraine,Europe,2024,6.42449003759955,5.1476999999999995,10811000.0
United States of America,Americas,2024,15.958070527689689,8.4135,54078269.0
Burkina Faso,Africa,2024,0.6319201780135559,1.1979000000000002,4348855.0
Uruguay,Americas,2024,13.882573733340822,5.0577,813974.0
Uzbekistan,Asia,2024,97.40770358523258,5.4962,1509320.0
Venezuela (Bolivarian Republic of),Americas,2024,31.97878787878788,4.3145,808105.0
Viet Nam,Asia,2024,39.36033848637776,6.0378,7925586.0
Ethiopia,Africa,2024,4.6495273049201575,2.6315999999999997,12069713.0
Yemen,Asia,2024,46.862258953168045,0.7687,547681.0
Democratic Republic of the Congo,Africa,2024,0.05942903821665342,0.8717999999999999,5033816.0
Zambia,Africa,2024,4.059117456366245,2.3183000000000002,759622.0
Belgium,Europe,2024,2.719292744778078,6.8555,281940.0
Serbia,Europe,2024,13.590490631426801,5.1716999999999995,1687001.0
Sudan,Africa,2024,8.731318655414643,0.5802999999999999,11591941.0
South Sudan,Africa,2024,0.7667814148327812,0.945,1269847.0
