area,region,score,n_indicators,pou_pct,stunting_pct,cereal_import_dep_pct,unaffordable_pct,agrifood_t_per_cap,obesity_pct,cereal_yield_t_ha,des_adequacy_pct
El Salvador,Americas,0.12826231944276273,7,5.3,9.4,54.1,,0.8627315034937106,32.2,2.8192,126.0
Georgia,Asia,0.12161479352469444,7,2.7,4.7,66.1,,1.4525417518933725,35.7,2.816,124.0
Venezuela (Bolivarian Republic of),Americas,0.11605982954115075,7,5.3,11.7,49.3,,3.076541707893338,23.0,4.3145,118.0
Côte d'Ivoire,Africa,0.10855627902243942,8,11.4,20.3,52.1,46.6,1.6927069683825664,12.8,2.5416,130.0
Uruguay,Americas,0.0979276448183852,8,2.6,6.5,-60.5,32.0,9.267483982820954,34.9,5.0577,134.0
Indonesia,Asia,0.09637196232106063,8,6.3,22.6,15.7,68.6,2.9351073140858848,11.8,5.421399999999999,126.0
India,Asia,0.08957094566669091,8,9.8,32.9,-12.4,35.5,0.9826588816220267,8.0,3.6325,116.0
Guinea,Africa,0.07849657575927108,8,8.7,26.6,28.5,50.3,3.206287737406379,10.6,1.351,140.0
Costa Rica,Americas,0.061353332181296315,8,2.6,10.6,92.5,41.8,2.0217158862212994,32.7,3.807,123.0
Cabo Verde,Africa,0.04991746098969915,8,8.1,5.3,100.0,49.3,0.6279518159940728,16.7,0.040299999999999996,116.0
Peru,Americas,0.04848517760972297,8,5.7,10.6,52.0,34.8,5.189497541143953,29.2,4.850899999999999,123.0
Barbados,Americas,0.014439783467092468,7,5.0,5.8,100.0,,1.7430720843250596,39.4,2.7931999999999997,126.0
Jordan,Asia,0.005215732965866887,8,12.2,7.7,100.0,2.2,0.8129301202801277,35.4,1.6114000000000002,111.0
Panama,Americas,0.00465281701708925,8,4.7,14.0,61.9,51.4,2.6243840270353256,37.7,4.2264,134.0
Burkina Faso,Africa,-0.008237705319976918,8,11.7,19.5,20.5,65.5,1.99352312816732,7.7,1.1979000000000002,124.0
Ecuador,Americas,-0.022904263809188058,8,10.8,17.7,39.6,25.7,1.9079728664211395,28.9,4.0066999999999995,113.0
Dominica,Americas,-0.03170433464469145,6,3.0,,100.0,,1.5731078033378438,32.5,1.6898,129.0
Jamaica,Americas,-0.032302170619874865,8,8.0,6.9,99.3,26.4,1.1307533736697062,35.2,1.3422,116.0
Togo,Africa,-0.04492617094827957,8,10.2,23.0,13.6,53.7,0.7728651300789776,13.4,1.1977,117.0
Cameroon,Africa,-0.05951085896477066,8,4.9,27.2,34.6,55.3,2.8316051771903026,16.0,1.7704000000000002,126.0
Lebanon,Asia,-0.06388820614366486,8,11.1,10.1,86.6,46.4,1.0965427688229639,30.7,2.661,119.0
Iraq,Asia,-0.07414210893805787,8,13.4,9.4,63.0,28.0,0.714581421340692,39.7,2.651,118.0
Mali,Africa,-0.07754358323354066,8,12.1,23.2,6.5,60.8,2.777653798559787,13.3,1.6562999999999999,126.0
Fiji,Oceania,-0.08674067413031267,8,7.2,7.2,92.6,58.0,1.135587705392552,39.0,3.0653,124.0
Benin,Africa,-0.09202613467937801,8,11.1,33.2,39.7,53.5,1.2082187740458992,12.2,1.356,127.0
