region,year,agrifood_gt,farm_gate_gt,luc_gt,pre_post_gt,agrifood_share_pct
Africa,1990,1.9078841803,0.6912085246,1.0586216896,0.1580539661,61.54081038021408
Africa,1991,1.9177010233,0.6945385315,1.0586216896,0.1645408022,61.01226668214178
Africa,1992,1.9297931388999998,0.7037874588,1.0586216896,0.16738399050000002,61.534260693598625
Africa,1993,1.9349928116,0.7048051404000001,1.0586216896,0.1715659816,60.66529870735946
Africa,1994,1.9518101684,0.7165247327,1.0586216896,0.1766637461,59.71593302759814
Africa,1995,1.9704257902,0.7287323548,1.0586216896,0.1830717458,58.33661535091951
Africa,1996,1.9648864746999999,0.7446518207,1.0318204205000001,0.1884142335,56.996242433312275
Africa,1997,1.988592394,0.7533217112,1.0396970698,0.195573613,57.43688472038129
Africa,1998,2.0528757784,0.7933843637,1.0596424309,0.1998489838,57.83433543631656
Africa,1999,2.0507968025,0.7974128307,1.048161716,0.2052222558,58.25131745452304
Africa,2000,2.0438118808,0.8055901818,1.028020103,0.210201596,57.48604280205217
Africa,2001,2.037799341,0.7936807746,1.0263944848,0.2177240816,58.9714235496344
Africa,2002,2.0853027772,0.8316979939,1.0308805172,0.2227242661,60.61766448855604
Africa,2003,2.1481922928,0.8590797682000001,1.059825078,0.2292874466,59.11528960447511
Africa,2004,2.1667139657,0.872335487,1.0556216469000002,0.2387568318,58.327200917708204
Africa,2005,2.2329721264,0.9160899196,1.0690435764,0.24783863039999998,58.58214251114925
Africa,2006,2.221812518,0.908465052,1.055426337,0.25792112899999997,58.41793825121704
Africa,2007,2.2715871261,0.9494134828999999,1.0555880021,0.2665856411,58.72440617995108
Africa,2008,2.3051145339000003,0.9722347589,1.0610257975000001,0.27185397749999995,58.357085385049196
Africa,2009,2.2953166576,0.9653328127999999,1.0500531241,0.2799307207,58.742361683300324
Africa,2010,2.364568995,1.0031263645,1.0695514956,0.2918911349,58.61998502513734
Africa,2011,2.6792736645,1.027089071,1.3549255104,0.2972590831,61.38154879666755
Africa,2012,2.7062617384000003,1.0402380644,1.3523718524,0.31365182160000005,61.31844076318562
Africa,2013,2.7144368215,1.0441794453,1.3421846961000001,0.3280726801,61.3266369099519
Africa,2014,2.7279417389000002,1.0511603469,1.3349320381,0.3418493539,60.49408341199175
Africa,2015,2.7617477004,1.0739791394,1.3430847189,0.344683842,61.017623247859994
Africa,2016,2.3903045254000004,1.1093644947999999,0.9263534131,0.3545866175,55.4637985839445
Africa,2017,2.403576304,1.111905503,0.9285067217,0.3631640793,55.2372640600734
Africa,2018,2.4087818618,1.1211078403,0.9102489238,0.3774250977,55.23400524407822
Africa,2019,2.4386283616999997,1.1352397228000002,0.9188069305000001,0.3845817084,54.17189762838007
Africa,2020,2.4769879504,1.1802604845,0.9120602125,0.38466725329999996,56.32182705162357
Africa,2021,2.3613664778,1.1886016021,0.7751244884999999,0.3976403872,56.88554916770111
Africa,2022,2.3627945455,1.1941060963,0.765392678,0.40329577120000004,56.780627383626076
Africa,2023,2.3803059185,1.2223611975,0.7522068093,0.4057379117,56.54059510809618
Americas,1990,5.0922756388999995,1.4366469147999998,2.9409772666,0.7146514575,48.779677887861155
Americas,1991,5.1175218635,1.4422300471999998,2.9409772666,0.7343145497,48.99219894746528
Americas,1992,5.1374013992,1.4697670755,2.9409772666,0.7266570571,48.46709817678475
Americas,1993,5.1436014615,1.4773160007,2.9409772666,0.7253081942,47.708429962118934
Americas,1994,5.1823704362,1.505426243,2.9409772666,0.7359669266,47.32446705616094
Americas,1995,5.266032025,1.5166702609,2.9409772666,0.8083844975000001,47.687149682773445
Americas,1996,5.280580222699999,1.5078245629,2.940236585,0.8325190748,47.00546380076184
Americas,1997,5.3372954933,1.5194791249,2.944861616,0.8729547524,46.52686767806556
Americas,1998,5.363493976,1.523424058,2.966489818,0.8735801,46.02646242572606
Americas,1999,5.3617184016,1.5215858965,2.9591368761,0.880995629,45.760033419265994
Americas,2000,5.3637109318,1.5243951842,2.9301993676,0.9091163800000001,45.060265145681115
Americas,2001,4.5141944118,1.5532462552,2.0290361037,0.9319120529,40.64368964563253
Americas,2002,4.5600729845000005,1.6138598471999999,2.0426417545,0.9035713828,40.63088514447657
Americas,2003,4.6160929112,1.6552747933,2.0438223729000002,0.916995745,40.57425896430607
Americas,2004,4.6756902446,1.6964332828,2.0521934637,0.9270634981,40.4362712402467
Americas,2005,4.7247035582,1.7244558685,2.0515025444,0.9487451453,40.42210032339178
Americas,2006,4.7160158700000006,1.7155976519,2.0370073035,0.9634109146000001,40.4290732701867
Americas,2007,4.7863142621,1.7322838966,2.0577745462,0.9962558193,40.321231799728835
Americas,2008,4.7675440735,1.7205993957,2.0312752009999997,1.0156694767999999,40.72558389452001
Americas,2009,4.721654846800001,1.7066096075,2.0249017228,0.9901435165,42.19615406873397
Americas,2010,4.821908694799999,1.7360954068,2.0668991721000003,1.0189141159,41.890565513925
Americas,2011,4.1755176832,1.7283532102,1.4257965234999999,1.0213679495,39.79334022746257
Americas,2012,4.1659913101,1.726316351,1.4283692439,1.0113057152,40.27529692641637
Americas,2013,4.1952921084,1.729849049,1.4209366871,1.0445063723,39.93259873585339
Americas,2014,4.219094322,1.7361831322999999,1.4218201629,1.0610910268,39.62986046674842
Americas,2015,4.2183005173,1.7417158046999999,1.4308894624000001,1.0456952502,40.056020306857654
Americas,2016,4.4661924186,1.7608497446,1.6437689102,1.0615737638,40.123559604558444
Americas,2017,4.497199219600001,1.7853257757999998,1.6471688535,1.0647045903,40.367034519147694
Americas,2018,4.4898964467,1.7856509017,1.6359522016,1.0682933434,39.947694779915885
Americas,2019,4.5282582067,1.8119470032,1.6550576576,1.0612535459,40.24207802669503
