area,region,year,yield_2024_t_ha,forecast_t_ha,change_pct,cereal_area_ha
"China, Taiwan Province of",Asia,2025,6.425800000000001,6.522863150618861,1.510522434854189,291168.0
United Republic of Tanzania,Africa,2025,1.8720999999999999,1.9486011094698474,4.086379438590226,8262403.0
Thailand,Asia,2025,3.0848,3.2205616356557023,4.400986633029769,12525660.0
Togo,Africa,2025,1.1977,1.2392005578657965,3.4650211126155517,1280036.0
Tunisia,Africa,2025,1.8911,1.8139629831196273,-4.078949652602859,795426.0
Türkiye,Asia,2025,3.4286999999999996,3.6167504422363557,5.484598892768577,11379632.0
Uganda,Africa,2025,1.9198,1.9275808946277668,0.40529714698234187,2953368.0
United Kingdom of Great Britain and Northern Ireland,Europe,2025,6.5582,7.070911104881651,7.817863207612619,2964415.0
Ukraine,Europe,2025,5.1476999999999995,5.302806744027552,3.0131271058444042,10811000.0
United States of America,Americas,2025,8.4135,8.416101110735365,0.030915917696128226,54078269.0
Burkina Faso,Africa,2025,1.1979000000000002,1.2623284214037902,5.3784473999323845,4348855.0
Uruguay,Americas,2025,5.0577,5.089377370971635,0.6263196902076995,813974.0
Uzbekistan,Asia,2025,5.4962,5.417891149633338,-1.4247816740049934,1509320.0
Venezuela (Bolivarian Republic of),Americas,2025,4.3145,4.347450050405602,0.7637049578306243,808105.0
Viet Nam,Asia,2025,6.0378,6.077587145843843,0.6589676015078982,7925586.0
Ethiopia,Africa,2025,2.6315999999999997,2.733808493984662,3.8838917002835593,12069713.0
Yemen,Asia,2025,0.7687,0.9283201679208111,20.764949644960453,547681.0
Democratic Republic of the Congo,Africa,2025,0.8717999999999999,0.950279106855902,9.001962245457907,5033816.0
Zambia,Africa,2025,2.3183000000000002,2.421185233232624,4.437960282647779,759622.0
Belgium,Europe,2025,6.8555,7.861899423803324,14.680175389152117,281940.0
Luxembourg,Europe,2025,5.2078999999999995,5.621097476634889,7.934051664488351,27030.0
Serbia,Europe,2025,5.1716999999999995,5.66375232143484,9.514324524524632,1687001.0
Sudan,Africa,2025,0.5802999999999999,0.6452721174176559,11.19629802130897,11591941.0
South Sudan,Africa,2025,0.945,1.0330645751681915,9.3190026633007,1269847.0
