area_code,area,region,cluster,cluster_name,pc1,pc2,cereal_yield_t_ha,n_kg_per_ha,cereal_kg_per_cap,cereal_import_dep_pct,pou_pct,obesity_pct,agrifood_t_per_cap,urban_share,log_gdp_cap,forest_share,cropland_share,unaffordable_pct
1,Armenia,Asia,1,low diet unaffordable · high urban share,-0.23211792632419045,0.83050627140558,1.9610999999999998,31.21,72.34192155596804,75.0,3.1,25.0,1.052021391638833,0.6314179646517634,9.907429771768753,0.1184706057575693,0.17851443647737184,46.6
2,Afghanistan,Asia,0,high diet unaffordable · low log gdp per head,-2.4714443199297422,0.4787759589540191,2.3586,12.55,145.74470334621319,46.1,27.8,20.6,0.546407128001534,0.2654440031315323,7.592870287844818,0.018543151955598487,0.12391334345246309,
3,Albania,Europe,1,low diet unaffordable · high urban share,0.7289111528479231,0.4434888787035187,5.1528,37.09,232.79874917838714,36.4,5.6,24.1,1.3800894490967064,0.6902511493625001,9.982344942613622,0.3434306569343066,0.2471897810218978,12.6
4,Algeria,Africa,1,low diet unaffordable · high urban share,-0.13616434906232802,0.9460941500976713,1.5366,8.25,87.97097481393936,83.9,2.6,23.6,1.4033783415679577,0.740303071445593,9.648724326841457,0.007104175938599511,0.03574361601182329,41.8
7,Angola,Africa,0,high diet unaffordable · low log gdp per head,-1.7550130065878822,-0.04323002388075774,1.1065999999999998,7.16,92.41907182811187,35.7,17.4,12.7,2.281792579278979,0.6813009522368101,9.0940312495758,0.5115293173979305,0.03949923798828908,72.2
8,Antigua and Barbuda,Americas,1,low diet unaffordable · high urban share,-0.317205940416658,0.8210899565765775,1.9633,3.58,0.5371539478735656,100.0,,34.6,1.821860131167217,0.2832295354690099,10.2877971185715,0.17851545998392,0.1203730200909384,
9,Argentina,Americas,3,high cereal per head · high agrifood co2e per head,2.5832938990735586,-2.2806592011151743,4.8542,28.34,1876.0295741705556,-128.2,2.8,37.2,5.374832298130099,0.9541428854009371,10.195111844220532,0.1709273611552642,0.17881431583409155,
10,Australia,Oceania,3,high cereal per head · high agrifood co2e per head,3.284748678492939,-3.4362290350559124,2.6896999999999998,78.27,1959.7216698632756,-241.6,,30.6,10.731265635441428,0.8629571404853892,11.007153715506917,0.17365051538788812,0.04116651732694162,3.2
11,Austria,Europe,1,low diet unaffordable · high urban share,1.388166486471843,-0.08645931631038778,6.7218,65.4,535.0849754292736,20.4,,16.5,1.9914037226509287,0.5811244019584658,11.063320363867863,0.47274478914202617,0.1677951526902569,2.9
12,Bahamas,Americas,1,low diet unaffordable · high urban share,1.9599891383703605,1.5856217202969936,7.737,42.18,1.5074398865638465,98.4,,48.3,1.9260785099138795,0.8795214349972463,10.498029129341951,0.5093506493506493,0.01098901098901099,
14,Barbados,Americas,1,low diet unaffordable · high urban share,-0.05900570179192691,0.9745987655520186,2.7931999999999997,14.5,0.0038942602144675306,100.0,5.0,39.4,1.7430720843250596,0.32306782739222634,9.99140685057401,0.14617169373549882,0.18561484918793503,
16,Bangladesh,Asia,0,high diet unaffordable · low log gdp per head,-0.7465332904883072,0.008207577366432375,5.408,171.82,382.27095621951776,16.0,8.2,5.8,0.8387907579178943,0.41959055132482526,9.046290859969677,0.14399708074057002,0.6759622032726434,40.4
