cluster,cereal_yield_t_ha,n_kg_per_ha,cereal_kg_per_cap,cereal_import_dep_pct,pou_pct,obesity_pct,agrifood_t_per_cap,urban_share,log_gdp_cap,forest_share,cropland_share,unaffordable_pct,name
0,1.7054,7.16,132.70207141827916,34.6,17.15,11.75,1.2415731949531421,0.39681405925822927,8.283514935439111,0.2462066115465802,0.18286016639906583,65.5,high diet unaffordable · low log gdp per head
1,3.5654,55.91,122.74333534127476,64.6,4.25,26.200000000000003,1.856029985606004,0.7154210126045983,10.069479267816256,0.3475482487491065,0.12853470437017994,12.9,low diet unaffordable · high urban share
2,14.9765,315.79,7.146805141830785,99.4,7.1,40.4,2.3923935722180776,0.9210046717939604,10.739370510108033,0.001218450826805918,0.013749647986482682,2.2,high n per ha · high cereal yield
3,4.8527,78.775,1274.646841652199,-88.7,2.7,24.4,5.324017693054731,0.7496323960243811,10.572117220523356,0.3457082157439498,0.19916129579266845,10.1,high cereal per head · high agrifood co2e per head
