area,region,year,risk_score,observed_pou_pct
Romania,Europe,2024,6.610869022641042e-05,
Cyprus,Asia,2024,6.55190417426579e-05,
Estonia,Europe,2024,5.9705847423268193e-05,
Italy,Europe,2024,5.8965730699960725e-05,
Mauritius,Africa,2024,5.8669560503237665e-05,4.9
Viet Nam,Asia,2024,5.699938596825771e-05,6.1
Egypt,Africa,2024,5.5332308913725015e-05,8.4
Trinidad and Tobago,Americas,2024,5.295408492231009e-05,10.4
Croatia,Europe,2024,5.074600099367991e-05,
Brazil,Americas,2024,4.955913588658186e-05,
Costa Rica,Americas,2024,4.937181536764687e-05,
Malta,Europe,2024,4.8384889836691564e-05,
Thailand,Asia,2024,4.7332966609989885e-05,5.4
Qatar,Asia,2024,4.393024891913456e-05,
Antigua and Barbuda,Americas,2024,4.363712468533141e-05,
Republic of Korea,Asia,2024,4.20975110177894e-05,
Kuwait,Asia,2024,3.954119930257359e-05,
Bulgaria,Europe,2024,3.8579338329530086e-05,
United Arab Emirates,Asia,2024,3.470032213352746e-05,
Chile,Americas,2024,2.8218088673554126e-05,
Denmark,Europe,2024,2.533134959350966e-05,
Ireland,Europe,2024,2.5164450942808707e-05,
Finland,Europe,2024,2.4560689909710895e-05,
Azerbaijan,Asia,2024,2.3430129833938516e-05,
Latvia,Europe,2024,2.3061805679399506e-05,
Norway,Europe,2024,2.2211034953576195e-05,
Belarus,Europe,2024,2.172734721795939e-05,
Maldives,Asia,2024,2.159431322837396e-05,
United States of America,Americas,2024,2.1440624848570293e-05,
Netherlands (Kingdom of the),Europe,2024,2.0749321836439152e-05,
Germany,Europe,2024,2.0194417507312268e-05,
Kazakhstan,Asia,2024,1.7886452594241583e-05,
Sweden,Europe,2024,1.7618186681883886e-05,
Greece,Europe,2024,1.6793025543808964e-05,
Belgium,Europe,2024,1.6646518225250946e-05,
France,Europe,2024,1.589039624909439e-05,
Austria,Europe,2024,1.3162399466338182e-05,
Canada,Americas,2024,1.2038439666574756e-05,
Luxembourg,Europe,2024,1.1784658355988945e-05,
Australia,Oceania,2024,1.1642442112095507e-05,
Iceland,Europe,2024,1.1004097286921457e-05,
Czechia,Europe,2024,1.0652652999775315e-05,
United Kingdom of Great Britain and Northern Ireland,Europe,2024,1.0531482826763342e-05,
Hungary,Europe,2024,9.684921664757297e-06,
Slovenia,Europe,2024,9.457568057731116e-06,
Guyana,Americas,2024,8.805482650756551e-06,
Uruguay,Americas,2024,8.54020067431534e-06,
Slovakia,Europe,2024,8.056564971070275e-06,
New Zealand,Oceania,2024,6.4240579862158535e-06,
Suriname,Americas,2024,2.1060942694443873e-06,12.7
