feature,importance,std
sanitation_basic_pct,0.07513494161709626,0.007747188228309152
log_gdp_cap,0.07387961739002717,0.008322500731310186
cereal_kg_per_cap,0.04313909084232941,0.0030447061071904387
water_basic_pct,0.02519506866416982,0.006035984596688578
cereal_yield_t_ha,0.010261529705515157,0.0026141848793566572
irrigation_share,0.008768910185797167,0.0023025073039267983
forest_share,0.006462969082764188,0.0013157633662010239
cereal_import_dep_pct,0.004948777263714499,0.001448399875212113
is_ldc,0.004857439230373821,0.0014047213063192894
agrifood_t_per_cap,0.004785837555996197,0.00196160616745651
n_kg_per_ha,0.004265348461481981,0.0011560599938060872
urban_share,0.001952522582066559,0.003475042303354803
region_Africa,0.001801057501652381,0.0008624724370307579
region_Americas,0.0013980685907321857,0.0013782225631358924
food_import_share_pct,0.0009689175295586476,0.0010338738791623935
temp_change_c,0.00016982448410078158,0.0016065566639237164
region_Europe,2.891606080632769e-05,8.368898104772213e-05
region_Oceania,0.0,0.0
is_sids,-0.0002579496217962755,0.00022240941869835194
region_Asia,-0.00030568407138134026,0.00010419467070057118
is_lldc,-0.0006315634868179136,0.0009147705307564188
